source,task_id,description,target,priority
ADR 0029,0029-001,Add field exercising dataType dateTime (e.g. submissionDeadline),examples/grant-application/definition.json,medium
ADR 0029,0029-002,Add field exercising dataType time (e.g. meetingTime),examples/grant-application/definition.json,medium
ADR 0029,0029-003,Back-sync dataType uri on projectWebsite from engine fixture to grant-app,examples/grant-application/definition.json,high
ADR 0029,0029-004,Add suffix on at least one field (e.g. % on indirectRate),examples/grant-application/definition.json,low
ADR 0029,0029-005,Add per-field currency on at least one field,examples/grant-application/definition.json,low
ADR 0029,0029-006,Add description on at least 3 items,examples/grant-application/definition.json,low
ADR 0029,0029-007,Add field-level presentation with widgetHint on at least one item,examples/grant-application/definition.json,low
ADR 0029,0029-008,Add initialValue as expression (=today() on startDate),examples/grant-application/definition.json,medium
ADR 0029,0029-009,Add prePopulate with editable false locking a pre-populated field,examples/grant-application/definition.json,medium
ADR 0029,0029-010,Add layout subsystem on at least one group (flow grid columns colSpan collapsible styleHints accessibility),examples/grant-application/definition.json,medium
ADR 0029,0029-011,Add conditional required expression,examples/grant-application/definition.json,medium
ADR 0029,0029-012,Add conditional readonly expression,examples/grant-application/definition.json,medium
ADR 0029,0029-013,Add whitespace remove on at least one bind,examples/grant-application/definition.json,low
ADR 0029,0029-014,Add nonRelevantBehavior empty per-bind override,examples/grant-application/definition.json,low
ADR 0029,0029-015,Back-sync timing demand on at least one shape from engine fixture,examples/grant-application/definition.json,high
ADR 0029,0029-016,Add xone shape composition exercising exclusive-or groups,examples/grant-application/definition.json,medium
ADR 0029,0029-017,Back-sync shape message with expression interpolation from engine fixture,examples/grant-application/definition.json,high
ADR 0029,0029-018,Add shape composition via shape ID references,examples/grant-application/definition.json,medium
ADR 0029,0029-019,Add derivedFrom as url version object at definition level,examples/grant-application/definition.json,low
ADR 0029,0029-020,Back-sync extensions x- data at definition item bind and shape levels from engine fixture,examples/grant-application/definition.json,high
ADR 0029,0029-021,Add cascade level 3 items — per-item presentation overrides for at least 3 items,examples/grant-application/theme.json,medium
ADR 0029,0029-022,Add style blocks with token references in PresentationBlocks,examples/grant-application/theme.json,low
ADR 0029,0029-023,Add fallback widget chain on attachment selector,examples/grant-application/theme.json,low
ADR 0029,0029-024,Add cssClass on at least one PresentationBlock in theme,examples/grant-application/theme.json,low
ADR 0029,0029-025,Add AccessibilityBlock with liveRegion polite on at least one PresentationBlock,examples/grant-application/theme.json,low
ADR 0029,0029-026,Add type selector matching in theme,examples/grant-application/theme.json,low
ADR 0029,0029-027,Add combined type + dataType selector in theme,examples/grant-application/theme.json,low
ADR 0029,0029-028,Add elevation token and at least one numeric token value,examples/grant-application/theme.json,low
ADR 0029,0029-029,Exercise labelPosition hidden third enum value,examples/grant-application/theme.json,low
ADR 0029,0029-030,Add at least one Select component,examples/grant-application/component.json,medium
ADR 0029,0029-031,Instantiate SummaryRow custom component,examples/grant-application/component.json,low
ADR 0029,0029-032,Use cssClass array form on at least one component,examples/grant-application/component.json,low
ADR 0029,0029-033,Exercise Stack direction horizontal,examples/grant-application/component.json,low
ADR 0029,0029-034,Exercise Stack align (gap from prior validation),examples/grant-application/component.json,high
ADR 0029,0029-035,Exercise Stack wrap (gap from prior validation),examples/grant-application/component.json,high
ADR 0029,0029-036,Exercise Grid columns as CSS string,examples/grant-application/component.json,medium
ADR 0029,0029-037,Exercise Grid gap,examples/grant-application/component.json,low
ADR 0029,0029-038,Exercise Grid rowGap,examples/grant-application/component.json,low
ADR 0029,0029-039,Exercise Tabs position,examples/grant-application/component.json,low
ADR 0029,0029-040,Exercise Tabs defaultTab,examples/grant-application/component.json,low
ADR 0029,0029-041,Exercise Page description,examples/grant-application/component.json,low
ADR 0029,0029-042,Exercise TextInput maxLines,examples/grant-application/component.json,low
ADR 0029,0029-043,Exercise TextInput inputMode (gap from prior validation),examples/grant-application/component.json,high
ADR 0029,0029-044,Exercise TextInput prefix,examples/grant-application/component.json,low
ADR 0029,0029-045,Exercise TextInput suffix (gap from prior validation),examples/grant-application/component.json,high
ADR 0029,0029-046,Exercise NumberInput step,examples/grant-application/component.json,low
ADR 0029,0029-047,Exercise NumberInput min,examples/grant-application/component.json,low
ADR 0029,0029-048,Exercise NumberInput max,examples/grant-application/component.json,low
ADR 0029,0029-049,Exercise NumberInput showStepper,examples/grant-application/component.json,low
ADR 0029,0029-050,Exercise DatePicker minDate,examples/grant-application/component.json,low
ADR 0029,0029-051,Exercise DatePicker maxDate,examples/grant-application/component.json,low
ADR 0029,0029-052,Exercise FileUpload multiple,examples/grant-application/component.json,low
ADR 0029,0029-053,Exercise MoneyInput locale,examples/grant-application/component.json,low
ADR 0029,0029-054,Exercise Rating icon,examples/grant-application/component.json,low
ADR 0029,0029-055,Exercise Rating allowHalf,examples/grant-application/component.json,low
ADR 0029,0029-056,Exercise Alert severity success and error,examples/grant-application/component.json,low
ADR 0029,0029-057,Exercise Badge variant default primary success error,examples/grant-application/component.json,low
ADR 0029,0029-058,Add ProgressBar with bind data-bound progress,examples/grant-application/component.json,medium
ADR 0029,0029-059,Exercise Card subtitle,examples/grant-application/component.json,low
ADR 0029,0029-060,Exercise Panel position left (gap from prior validation),examples/grant-application/component.json,high
ADR 0029,0029-061,Exercise Modal trigger auto (gap from prior validation),examples/grant-application/component.json,high
ADR 0029,0029-062,Exercise Modal size variants,examples/grant-application/component.json,low
ADR 0029,0029-063,Exercise Popover triggerBind,examples/grant-application/component.json,low
ADR 0029,0029-064,Exercise Popover placement variants,examples/grant-application/component.json,low
ADR 0029,0029-065,Add id UUID to submission,examples/grant-application/fixtures/sample-submission.json,low
ADR 0029,0029-066,Add subject as id type pair,examples/grant-application/fixtures/sample-submission.json,low
ADR 0029,0029-067,Exercise all 6 constraintKind values in validationResults (cardinality and shape currently missing),examples/grant-application/fixtures/,high
ADR 0029,0029-068,Exercise all 3 source values in validationResults,examples/grant-application/fixtures/,low
ADR 0029,0029-069,Exercise shapeId sourceId value constraint context in validationResults,examples/grant-application/fixtures/,low
ADR 0029,0029-070,Create submission-in-progress.json with status in-progress and partial data,examples/grant-application/fixtures/,medium
ADR 0029,0029-071,Include attachment values in data,examples/grant-application/fixtures/sample-submission.json,low
ADR 0029,0029-072,Include multiChoice array values in data,examples/grant-application/fixtures/,low
ADR 0029,0029-073,Include nested repeat data (projectPhases/phaseTasks) in data,examples/grant-application/fixtures/,low
ADR 0029,0029-074,Include nonRelevantBehavior empty representation in data,examples/grant-application/fixtures/,low
ADR 0029,0029-075,Write Playwright E2E test for every new property/value,`tests/e2e/playwright/`,medium
ADR 0030,0030-001,Create changelog.json with definitionUrl fromVersion toVersion generatedAt semverImpact summary,examples/grant-application/changelog.json,medium
ADR 0030,0030-002,Add at least 5 Change objects exercising all 5 type values,examples/grant-application/changelog.json,medium
ADR 0030,0030-003,Exercise all 3 impact levels breaking compatible cosmetic,examples/grant-application/changelog.json,low
ADR 0030,0030-004,Exercise all 8 target categories in changelog,examples/grant-application/changelog.json,low
ADR 0030,0030-005,Add before/after fragments on modified removed renamed moved changes,examples/grant-application/changelog.json,medium
ADR 0030,0030-006,Add migrationHint with preserve drop and FEL expression referencing old,examples/grant-application/changelog.json,medium
ADR 0030,0030-007,Add key on target item changes,examples/grant-application/changelog.json,low
ADR 0030,0030-008,Change mapping.json direction to both,examples/grant-application/mapping.json,medium
ADR 0030,0030-009,Add mapping rules exercising transforms drop flatten nest constant split,examples/grant-application/mapping.json,medium
ADR 0030,0030-010,Add full-form coerce on at least one rule,examples/grant-application/mapping.json,medium
ADR 0030,0030-011,Add full-form valueMap on at least one rule,examples/grant-application/mapping.json,medium
ADR 0030,0030-012,Add reverse overrides on at least 2 rules,examples/grant-application/mapping.json,medium
ADR 0030,0030-013,Add bidirectional false on at least one rule,examples/grant-application/mapping.json,low
ADR 0030,0030-014,Add reversePriority on at least 2 rules,examples/grant-application/mapping.json,low
ADR 0030,0030-015,Add default fallback value on at least one rule,examples/grant-application/mapping.json,low
ADR 0030,0030-016,Add description on at least 3 rules,examples/grant-application/mapping.json,low
ADR 0030,0030-017,Add separator on at least one flatten/nest rule,examples/grant-application/mapping.json,low
ADR 0030,0030-018,Add defaults target document default values at top level,examples/grant-application/mapping.json,medium
ADR 0030,0030-019,Add autoMap synthetic preserve rules,examples/grant-application/mapping.json,medium
ADR 0030,0030-020,Set conformanceLevel bidirectional,examples/grant-application/mapping.json,low
ADR 0030,0030-021,Fix array.rules to array.innerRules naming mismatch,examples/grant-application/mapping.json,medium
ADR 0030,0030-022,Exercise innerRules depth condition priority index,examples/grant-application/mapping.json,medium
ADR 0030,0030-023,Exercise ArrayDescriptor.mode indexed on at least one array,examples/grant-application/mapping.json,medium
ADR 0030,0030-024,Create mapping-xml.json with targetSchema format xml rootElement namespaces,examples/grant-application/mapping-xml.json,medium
ADR 0030,0030-025,Add XmlAdapter config declaration indent cdata,examples/grant-application/mapping-xml.json,low
ADR 0030,0030-026,Add at least 5 XML mapping rules,examples/grant-application/mapping-xml.json,medium
ADR 0030,0030-027,Add targetSchema.url for canonical schema URL,examples/grant-application/mapping-xml.json,low
ADR 0030,0030-028,Create mapping-csv.json with targetSchema format csv name,examples/grant-application/mapping-csv.json,medium
ADR 0030,0030-029,Add CsvAdapter config delimiter quote header encoding lineEnding,examples/grant-application/mapping-csv.json,low
ADR 0030,0030-030,Add at least 5 CSV mapping rules,examples/grant-application/mapping-csv.json,medium
ADR 0030,0030-031,Add flatten transform for nested group data in CSV mapping,examples/grant-application/mapping-csv.json,medium
ADR 0030,0030-032,Add pages with at least 2 Page objects to main theme.json,examples/grant-application/theme.json,high
ADR 0030,0030-033,Add regions with at least 4 Region objects exercising key span start,examples/grant-application/theme.json,high
ADR 0030,0030-034,Add responsive on regions with breakpoint-keyed overrides,examples/grant-application/theme.json,high
ADR 0030,0030-035,Add breakpoints at theme level,examples/grant-application/theme.json,low
ADR 0030,0030-036,Create contact-fragment.json reusable group fragment,examples/grant-application/contact-fragment.json,medium
ADR 0030,0030-037,Add ref + keyPrefix in definition.json referencing contact-fragment,examples/grant-application/definition.json,medium
ADR 0030,0030-038,Populate migrations with full MigrationDescriptor,examples/grant-application/definition.json,medium
ADR 0030,0030-039,Fix presentation.page path to presentation.layout.page,examples/grant-application/definition.json,low
ADR 0030,0030-040,Add constraintKind type validation result to submission,examples/grant-application/fixtures/,low
ADR 0030,0030-041,Add constraintKind external validation result to submission,examples/grant-application/fixtures/,low
ADR 0030,0030-042,Add source external with sourceId on external validation result,examples/grant-application/fixtures/,low
ADR 0030,0030-043,Add definitionUrl and definitionVersion to validationReport metadata from engine,packages/formspec-engine/src/,low
ADR 0030,0030-044,Create submission-amended.json with status amended,examples/grant-application/fixtures/,low
ADR 0030,0030-045,Optionally create submission-stopped.json with status stopped,examples/grant-application/fixtures/,low
ADR 0030,0030-046,Write E2E test for ref fragment resolution,`tests/e2e/playwright/`,medium
ADR 0030,0030-047,Write E2E test for theme page/region layout rendering,`tests/e2e/playwright/`,medium
ADR 0030,0030-048,Write Python tests for changelog parsing,`tests/`,medium
ADR 0030,0030-049,Write Python tests for mapping round-trip forward+reverse,`tests/`,medium
ADR 0030,0030-050,Write Python tests for schema validation of new files,`tests/`,medium
ADR 0031,0031-001,Add screener to definition.json with 2-3 screening items,examples/grant-application/definition.json,medium
ADR 0031,0031-002,Add routes with at least 3 Route objects,examples/grant-application/definition.json,medium
ADR 0031,0031-003,Implement evaluateScreener engine method,packages/formspec-engine/src/,medium
ADR 0031,0031-004,Implement screener rendering in webcomponent,packages/formspec-webcomponent/src/,medium
ADR 0031,0031-005,Create registry.json in examples/grant-application/,examples/grant-application/registry.json,high
ADR 0031,0031-006,Add RegistryEntry for dataType category,examples/grant-application/registry.json,medium
ADR 0031,0031-007,Add RegistryEntry for function category,examples/grant-application/registry.json,medium
ADR 0031,0031-008,Add RegistryEntry for constraint category,examples/grant-application/registry.json,medium
ADR 0031,0031-009,Add RegistryEntry for property category,examples/grant-application/registry.json,medium
ADR 0031,0031-010,Add RegistryEntry for namespace category,examples/grant-application/registry.json,medium
ADR 0031,0031-011,Exercise all 4 status values across entries including retired,examples/grant-application/registry.json,high
ADR 0031,0031-012,Add deprecationNotice on deprecated entry,examples/grant-application/registry.json,low
ADR 0031,0031-013,Add specUrl schemaUrl license on at least one entry,examples/grant-application/registry.json,low
ADR 0031,0031-014,Add examples array on at least 2 entries,examples/grant-application/registry.json,low
ADR 0031,0031-015,Add compatibility formspecVersion and mappingDslVersion,examples/grant-application/registry.json,low
ADR 0031,0031-016,Add extensions at registry and entry levels,examples/grant-application/registry.json,low
ADR 0031,0031-017,Write schema validation tests for registry conditional validation,`tests/`,medium
ADR 0031,0031-018,Implement registry.py load and query module,src/formspec/registry.py,medium
ADR 0031,0031-019,Add at least 2 scoped variables with scope targeting specific groups,examples/grant-application/definition.json,medium
ADR 0031,0031-020,Implement scoped variable resolution in engine,packages/formspec-engine/src/,medium
ADR 0031,0031-021,Support scopedVar references in FEL resolving within scope,packages/formspec-engine/src/ + WASM bridge,medium
ADR 0031,0031-022,Add writable instance with readonly false inline data schema,examples/grant-application/definition.json,medium
ADR 0031,0031-023,Add source instance with source URL and static true (gap from prior validation),examples/grant-application/definition.json,high
ADR 0031,0031-024,Implement mutable instance signals in engine,packages/formspec-engine/src/,medium
ADR 0031,0031-025,Implement schema on instance — engine validates instance data against declared schema,packages/formspec-engine/src/,medium
ADR 0031,0031-026,Add labels.pdf on at least 3 items in definition.json,examples/grant-application/definition.json,low
ADR 0031,0031-027,Add labels.csv on at least 3 items in definition.json,examples/grant-application/definition.json,low
ADR 0031,0031-028,Create theme-pdf.json with platform pdf different tokens/selectors,examples/grant-application/theme-pdf.json,medium
ADR 0031,0031-029,Implement label multiplexing in engine selecting variant based on platform,packages/formspec-engine/src/,medium
ADR 0031,0031-030,Exercise DatePicker showTime with dateTime field,packages/formspec-webcomponent/src/,low
ADR 0031,0031-031,Wire ProgressBar.bind engine integration,packages/formspec-engine/src/ + webcomponent,medium
ADR 0031,0031-032,Wire Modal.trigger auto engine/webcomponent behavior (gap from prior validation),packages/formspec-webcomponent/src/,high
ADR 0031,0031-033,Wire Popover.triggerBind engine integration,packages/formspec-webcomponent/src/,low
ADR 0031,0031-034,Ensure renderer handles Grid.columns as CSS grid-template-columns string,packages/formspec-webcomponent/src/,low
ADR 0031,0031-035,Ensure renderer handles Stack.direction horizontal applying flex-direction row,packages/formspec-webcomponent/src/,low
ADR 0031,0031-036,Write E2E test for screener screening questions render and route,`tests/e2e/playwright/`,medium
ADR 0031,0031-037,Write E2E test for writable instance FEL expression writes and reads,`tests/e2e/playwright/`,medium
ADR 0031,0031-038,Write Python tests for registry schema validation,`tests/`,medium
ADR 0031,0031-039,Write Python tests for scoped variable evaluation,`tests/`,medium
ADR 0040,0040-001,Implement batch processing utility with sequential per-item results,packages/formspec-mcp/src/batch.ts,later
ADR 0040,0040-002,Implement formspec_guide tool new/modify modes,packages/formspec-mcp/src/tools/guide.ts,later
ADR 0040,0040-003,Consolidate bootstrap tools draft into formspec_draft with type param,packages/formspec-mcp/src/tools/,later
ADR 0040,0040-004,Add batch support items[] to formspec_field/content/group,packages/formspec-mcp/src/tools/structure.ts,later
ADR 0040,0040-005,Create formspec_update non-destructive property bag changes,packages/formspec-mcp/src/tools/structure.ts,later
ADR 0040,0040-006,Create formspec_edit destructive remove/move/rename/copy,packages/formspec-mcp/src/tools/structure.ts,later
ADR 0040,0040-007,Split page tools formspec_page and formspec_place,packages/formspec-mcp/src/tools/,later
ADR 0040,0040-008,Consolidate behavior tools into formspec_behavior with action param,packages/formspec-mcp/src/tools/behavior.ts,later
ADR 0040,0040-009,Consolidate data tools 9-1 into formspec_data with resource+action params,packages/formspec-mcp/src/tools/data.ts,later
ADR 0040,0040-010,Consolidate screener tools 7-1 into formspec_screener,packages/formspec-mcp/src/tools/screener.ts,later
ADR 0040,0040-011,Split query tools describe search trace,packages/formspec-mcp/src/tools/query.ts,later
ADR 0040,0040-012,Consolidate remaining tools flow style fel preview,packages/formspec-mcp/src/tools/,later
ADR 0040,0040-013,Wire outputSchema zod objects to all tools in server.ts,packages/formspec-mcp/src/server.ts,high
ADR 0040,0040-014,Add batch error formatting to errors module,packages/formspec-mcp/src/errors.ts,later
ADR 0040,0040-015,Produce tool descriptions with path format examples and type enumerations,packages/formspec-mcp/src/tools/,later
ADR 0040,0040-016,Apply annotations strategy to all tool registrations,packages/formspec-mcp/src/server.ts,later
ADR 0040,0040-017,Consolidate from 49 actual tools down to 28 target,packages/formspec-mcp/src/tools/,later
ADR 0040,0040-018,Write lifecycle integration test guide to preview chain,packages/formspec-mcp/tests/integration.test.ts,later
ADR 0040,0040-019,Update lifecycle test file to match new tool shapes,packages/formspec-mcp/tests/lifecycle.test.ts,later
ADR 0048,0048-001,Create Locale Document JSON schema with x-lm critical annotations,schemas/locale.schema.json,later
ADR 0048,0048-002,Write Locale specification path-based strings FEL interpolation fallback chains,s`pecs/locale/locale-spec.md`,later
ADR 0048,0048-003,Add loadLocale document to FormEngine,packages/formspec-engine/src/form-engine.ts,later
ADR 0048,0048-004,Add setLocale code to FormEngine triggers reactive updates,packages/formspec-engine/src/form-engine.ts,later
